uid;date_match;joueurA;joueurB;surf;tournoi;coteA;coteB;probA_modele;probB_modele;evA_pct;evB_pct;marge;zones;psA;psB;mxA;mxB;avA;avB;clv_ps_pct;clv_avg_pct;score_confiance;injury;opp_streak;tourn_spec;elo_a;elo_b;srv_a;srv_b;ret_a;ret_b;trend_elo_a;trend_elo_b;rank_a;rank_b;forme_surf_a;forme_surf_b;forme_5A;forme_5B;clv_closing_60;clv_closing_15;anomalie;resultat;src_resultat
2026-06-03_matteo_berrettini_matteo_arnaldi;2026-06-03;Matteo Berrettini;Matteo Arnaldi;Clay;ATP French Open;1.5;2.3;0.3100;0.5300;-53.50;21.90;10.14;B2+B3;1.54;2.62;1.62;2.64;1.5481818181818185;2.482363636363637;-2.60;-3.11;21;;;;1755.9;1756.4;66.8;61.1;33.8;33.3;-25.6;-18.4;105;104;2V3D;2V3D;;;3.23;3.23;abandon;0;
2026-06-04_marta_kostyuk_mirra_andreeva;2026-06-04;Marta Kostyuk;Mirra Andreeva;Clay;WTA French Open;1.74;2.05;0.6800;0.2300;18.32;-52.85;6.25;A1+A2+A3;1.78;2.14;1.86;2.14;1.7613725490196075;2.066862745098039;-2.25;-1.21;53;;;;1958.5;1993.1;59.1;59.9;46.2;46.2;116.6;57.8;15;8;5V0D;3V2D;;;-2.20;-2.73;;0;
2026-06-05_jakub_mensik_alexander_zverev;2026-06-05;Alexander Zverev;Jakub Mensik;Clay;ATP French Open;1.25;3.95;0.8200;0.6800;2.50;168.60;5.32;aucune;;;1.26;4.2;1.2455555555555555;3.953333333333334;;0.36;89;;;;2021.3;1789.4;74.9;77.8;36.6;36.4;44.6;-48.5;3;27;3V2D;2V3D;;;-5.38;-3.15;;1;
2026-06-04_diana_shnaider_maja_chwalinska;2026-06-04;Diana Shnaider;Maja Chwalinska;Clay;WTA French Open;1.5;2.31;0.8700;0.6100;30.50;40.91;9.96;aucune;1.54;2.64;1.59;2.68;1.5399999999999998;2.5114;-2.60;-2.60;58;;;;1801.5;1675.2;58.1;57;42.9;43.4;6.0;138.7;23;114;2V3D;5V0D;;;-3.77;-4.97;;0;
2026-06-05_matteo_arnaldi_flavio_cobolli;2026-06-05;Flavio Cobolli;Matteo Arnaldi;Clay;ATP French Open;1.39;2.9;0.5800;0.4200;-19.38;21.80;6.43;C2;1.43;3.03;1.45;3.2;1.4052727272727275;2.9760000000000004;-2.80;-1.09;48;;;;1847.5;1756.4;63.6;61.1;36.4;33.3;11.6;-18.4;14;104;2V3D;2V3D;;;-1.37;-2.04;walkover;1;
2026-06-06_maja_chwalinska_mirra_andreeva;2026-06-06;Mirra Andreeva;Maja Chwalinska;Clay;WTA French Open;1.25;4.1;0.9400;0.0700;17.50;-71.30;4.39;A3+A5;1.26;4.25;1.3;4.4;1.2475471698113207;4.058867924528303;-0.79;0.20;84;;;;1993.1;1675.2;59.9;57;46.2;43.4;76.6;138.7;8;114;3V2D;5V0D;;;5.00;5.00;;1;
2026-06-07_flavio_cobolli_alexander_zverev;2026-06-07;Alexander Zverev;Flavio Cobolli;Clay;ATP French Open;1.25;4.35;0.8200;0.5700;2.50;147.95;2.99;aucune;1.25;4.34;1.29;4.5;1.2461818181818178;4.093454545454546;0.00;0.31;64;;;;2021.3;1847.5;69.3;63.6;36.6;36.4;16.0;16.6;3;14;3V2D;2V3D;;;0.80;0.80;;1;
atp_french_open_alexander_zverev_vs_flavio_cobolli;2026-06-07;Alexander Zverev;Flavio Cobolli;Clay;ATP French Open;1.25;4.3;0.8200;0.5700;2.50;145.10;3.26;aucune;1.25;4.46;1.27;4.6;1.2449090909090905;4.134727272727273;0.00;0.41;80;;;;2021.3;1847.5;69.3;63.6;36.6;36.4;60.8;84.7;3;10;5V0D;5V0D;;;0.80;0.80;;1;oddspapi
atp_s-hertogenbosch_juan_pablo_ficovich_vs_martin_damm_jr;2026-06-07;Martin Damm Jr;Juan Pablo Ficovich;Grass;ATP s-Hertogenbosch;1.289;3.67;0.7570;0.9500;-2.42;248.65;4.83;aucune;1.289;3.67;1.289;3.67;;;0.00;;27;;;;1500.0;1426.4;;63.2;;39.6;;;2071;203;;;;;0.00;0.00;;1;
atp_stuttgart_jurij_rodionov_vs_sho_shimabukuro;2026-06-07;Sho Shimabukuro;Jurij Rodionov;Grass;ATP Stuttgart;1.769;2.07;0.2700;0.6000;-52.24;24.20;4.84;B2+B3+B4;1.769;2.07;1.769;2.07;;;0.00;;27;;;;1565.6;1513.6;67.6;;31.5;;;-10.0;104;153;;;;;-1.89;-1.89;;1;
