date,uid,joueur,book,prix_signale,cloture,ecart_annonce,clv,source,exclu,match_id,gele_le
2026-08-24T10:29,2026-08-24_zhizhen_zhang_rei_sakamoto,Rei Sakamoto,winamax.fr,2.0,1.64,12.0,22.0,live,,rei-sakamoto_vs_zhang-zhizhen@2026-08-24,2026-08-25
2026-08-24T10:37,2026-08-24_zhizhen_zhang_rei_sakamoto,Rei Sakamoto,winamax.fr,2.0,1.64,12.0,22.0,live,,rei-sakamoto_vs_zhang-zhizhen@2026-08-24,2026-08-25
2026-08-24T10:55,2026-08-24_pol_martin_tiffon_tom_gentzsch,Tom Gentzsch,leovegas,1.6,1.38,5.5,15.9,live,,gentzsch-tom_vs_martin-pol-tiffon@2026-08-24,2026-08-25
2026-08-24T10:55,2026-08-24_pol_martin_tiffon_tom_gentzsch,Tom Gentzsch,unibet,1.6,1.38,5.5,15.9,live,,gentzsch-tom_vs_martin-pol-tiffon@2026-08-24,2026-08-25
2026-08-24T10:55,2026-08-24_joel_schwaerzler_gustavo_heide,Joel Schwaerzler,betsson,2.06,1.87,3.0,10.2,live,,gustavo-heide_vs_joel-schwaerzler@2026-08-24,2026-08-25
2026-08-24T11:58,2026-08-24_kimmer_coppejans_jurij_rodionov,Jurij Rodionov,betway,1.65,1.6,5.2,3.1,live,,coppejans-kimmer_vs_jurij-rodionov@2026-08-24,2026-08-25
2026-08-24T11:58,2026-08-24_kimmer_coppejans_jurij_rodionov,Jurij Rodionov,bwin,1.62,1.6,3.3,1.2,live,,coppejans-kimmer_vs_jurij-rodionov@2026-08-24,2026-08-25
2026-08-24T12:43,2026-08-24_kamil_majchrzak_benjamin_bonzi,Kamil Majchrzak,williamhill,1.588,1.588,3.9,0.0,live,,benjamin-bonzi_vs_kamil-majchrzak@2026-08-24,2026-08-25
2026-08-24T13:49,2026-08-24_daniel_altmaier_francisco_comesana,Francisco Comesana,4casters,1.976,1.935,3.2,2.1,live,,altmaier-daniel_vs_comesana-francisco@2026-08-24,2026-08-25
2026-08-24T14:00,2026-08-24_lucia_bronzetti_luisina_giovannini,Luisina Giovannini,bet365,4.5,3.75,10.3,20.0,live,,bronzetti-lucia_vs_giovannini-luisina@2026-08-24,2026-08-25
2026-08-24T14:00,2026-08-24_lucia_bronzetti_luisina_giovannini,Luisina Giovannini,bet365.fr,4.3,3.6,5.4,19.4,live,,bronzetti-lucia_vs_giovannini-luisina@2026-08-24,2026-08-25
2026-08-24T14:10,2026-08-24_dalibor_svrcina_felipe_meligeni_alves,Dalibor Svrcina,bet365,1.3,1.286,3.0,1.1,live,,alves-felipe-meligeni_vs_dalibor-svrcina@2026-08-24,2026-08-25
2026-08-24T15:08,2026-08-24_janice_tjen_dayana_yastremska,Janice Tjen,williamhill,1.588,1.588,5.6,0.0,live,,dayana-yastremska_vs_janice-tjen@2026-08-24,2026-08-25
2026-08-24T15:08,2026-08-24_camila_osorio_ann_li,Ann Li,bet365,2.0,2.0,3.8,0.0,live,,ann_vs_camila-osorio@2026-08-24,2026-08-25
2026-08-24T15:08,2026-08-24_mia_ristic_ayana_akli,Ayana Akli,winamax.fr,2.1,2.1,19.5,0.0,live,,akli-ayana_vs_mia-ristic@2026-08-24,2026-08-25
2026-08-24T15:18,2026-08-24_janice_tjen_dayana_yastremska,Janice Tjen,williamhill,1.588,1.588,5.6,0.0,live,,dayana-yastremska_vs_janice-tjen@2026-08-24,2026-08-25
2026-08-24T15:18,2026-08-24_camila_osorio_ann_li,Ann Li,bet365,2.0,2.0,3.8,0.0,live,,ann_vs_camila-osorio@2026-08-24,2026-08-25
2026-08-24T15:18,2026-08-24_mia_ristic_ayana_akli,Ayana Akli,winamax.fr,2.1,2.1,19.5,0.0,live,,akli-ayana_vs_mia-ristic@2026-08-24,2026-08-25
2026-08-24T18:13,2026-08-25_yunchaokete_bu_rio_noguchi,Rio Noguchi,winamax.fr,4.6,3.0,34.4,53.3,live,,noguchi-rio_vs_yunchaokete@2026-08-25,2026-08-25
2026-08-24T19:30,2026-08-24_roman_safiullin_hugo_grenier,Roman Safiullin,winamax.fr,1.22,1.22,3.5,0.0,live,,grenier-hugo_vs_roman-safiullin@2026-08-24,2026-08-25
2026-08-24T19:42,2026-08-24_roman_safiullin_hugo_grenier,Roman Safiullin,winamax.fr,1.22,1.22,3.5,0.0,live,,grenier-hugo_vs_roman-safiullin@2026-08-24,2026-08-25
2026-08-24T22:10,2026-08-25_yeon_woo_ku_astra_sharma,Astra Sharma,bet365,4.5,3.5,12.1,28.6,live,,astra-sharma_vs_woo-yeon@2026-08-25,2026-08-25
2026-08-24T22:10,2026-08-25_yeon_woo_ku_astra_sharma,Astra Sharma,bet365.fr,4.3,3.35,7.1,28.4,live,,astra-sharma_vs_woo-yeon@2026-08-25,2026-08-25
2026-08-24T22:10,2026-08-25_taro_daniel_andrew_johnson,Andrew Johnson,bet365,8.0,6.5,15.9,23.1,live,,andrew-johnson_vs_daniel-taro@2026-08-25,2026-08-25
2026-08-24T22:10,2026-08-25_taro_daniel_andrew_johnson,Andrew Johnson,bet365.fr,7.2,6.0,4.3,20.0,live,,andrew-johnson_vs_daniel-taro@2026-08-25,2026-08-25
2026-08-24T22:10,2026-08-25_alex_bolt_pablo_llamas_ruiz,Pablo Llamas Ruiz,winamax.fr,1.52,1.29,11.6,17.8,live,,alex-bolt_vs_llamas-pablo-ruiz@2026-08-25,2026-08-25
2026-08-24T22:10,2026-08-25_alex_bolt_pablo_llamas_ruiz,Pablo Llamas Ruiz,bet365,1.444,1.333,6.1,8.3,live,,alex-bolt_vs_llamas-pablo-ruiz@2026-08-25,2026-08-25
